model_name,accuracy,balanced_accuracy,precision,recall,f1_score,training_time_sec,true_real,false_fake,false_real,true_fake
Logistic Regression,0.7037037037037037,0.7037037037037037,0.6486486486486487,0.8888888888888888,0.75,0.891060900001321,14,13,3,24
Linear SVM,0.7222222222222222,0.7222222222222222,0.6875,0.8148148148148148,0.7457627118644068,0.2243402000021888,17,10,5,22
