model_name,accuracy,balanced_accuracy,precision,recall,f1_score,training_time_sec,tn,fp,fn,tp
Logistic Regression,0.7272727272727273,0.7166666666666667,0.75,0.6,0.6666666666666666,0.006087399999842091,5,1,2,3
Linear SVM,0.6363636363636364,0.6166666666666667,0.6666666666666666,0.4,0.5,0.0051444000000628876,5,1,3,2
