model_name,accuracy,balanced_accuracy,precision,recall,f1_score,tn,fp,fn,tp,training_time_sec,prediction_time_sec
Linear SVM,0.9595943715116736,0.9595326476595873,0.9657415437987857,0.9601897096866916,0.962957624675699,5526,237,277,6681,2.8618,0.0139
Logistic Regression,0.950318371197233,0.9505167765722766,0.9602735739231665,0.9484047139982754,0.9543022415039769,5490,273,359,6599,1.3721,0.0067
